30144A,118000,118020,2.15
30144A,118020,118040,1.62
30144A,118040,118060,3.18
30144A,118060,118080,2.43
30144A,118080,118100,3.03
30144A,118100,118120,4.02
30144A,118120,118140,3.18
30144A,118140,118160,2.99
30144A,118160,118180,2.66
30144A,118180,118200,3.42
30144A,118200,118220,3.78
30144A,118220,118240,2.34
30144A,118240,118260,4.40
30144A,118260,118280,3.57
30144A,118280,118300,3.30
30144A,118300,118320,3.01
30144A,118320,118340,1.76
30144A,118340,118360,3.18
30144A,118360,118380,2.53
30144A,118380,118400,2.99
30144A,118400,118420,2.00
30144A,118420,118440,2.25
30144A,118440,118460,2.19
30144A,118460,118480,2.06
30144A,118480,118500,2.33
30144A,118500,118520,2.43
30144A,118520,118540,3.24
30144A,118540,118560,2.62
30144A,118560,118580,3.55
30144A,118580,118600,4.47
30144A,118600,118620,4.52
30144A,118620,118640,2.84
30144A,118640,118660,3.88
30144A,118660,118680,3.48
30144A,118680,118700,3.29
30144A,118700,118720,2.39
30144A,118720,118740,2.41
30144A,118740,118760,1.89
30144A,118760,118780,2.85
30144A,118780,118800,2.82
30144A,118800,118820,3.72
30144A,118820,118840,2.21
30144A,118840,118860,2.52
30144A,118860,118880,3.65
30144A,118880,118900,4.06
30144A,118900,118920,3.14
30144A,118920,118940,2.08
30144A,118940,118960,2.70
30144A,118960,118980,1.97
30144A,118980,119000,2.44
30144A,119000,119020,2.52
30144A,119020,119040,2.15
30144A,119040,119060,2.95
30144A,119060,119080,1.91
30144A,119080,119100,2.78
30144A,119100,119120,3.37
30144A,119120,119140,2.44
30144A,119140,119160,2.47
30144A,119160,119180,2.12
30144A,119180,119200,1.95
30144A,119200,119220,1.79
30144A,119220,119240,2.34
30144A,119240,119260,2.06
30144A,119260,119280,1.61
30144A,119280,119300,2.63
30144A,119300,119320,1.86
30144A,119320,119340,2.12
30144A,119340,119360,2.43
30144A,119360,119380,1.68
30144A,119380,119400,1.90
30144A,119400,119420,2.18
30144A,119420,119440,1.86
30144A,119440,119460,2.30
30144A,119460,119480,1.75
30144A,119480,119500,2.37
30144A,119500,119520,2.21
30144A,119520,119540,2.60
30144A,119540,119560,2.80
30144A,119560,119580,2.63
30144A,119580,119600,2.51
30144A,119600,119620,2.01
30144A,119620,119640,1.98
30144A,119640,119660,2.20
30144A,119660,119680,2.26
30144A,119680,119700,2.98
30144A,119700,119720,2.29
30144A,119720,119740,2.97
30144A,119740,119760,2.68
30144A,119760,119780,2.91
30144A,119780,119800,1.99
30144A,119800,119820,2.31
30144A,119820,119840,1.94
30144A,119840,119860,2.11
30144A,119860,119880,2.96
30144A,119880,119900,2.41
30144A,119900,119920,3.11
30144A,119920,119940,3.08
30144A,119940,119960,2.21
30144A,119960,119980,4.82
30144A,119980,120000,2.81
30144A,120000,120020,3.75
30144A,120020,120040,3.14
30144A,120040,120060,3.18
30144A,120060,120080,2.64
30144A,120080,120100,2.69
30144A,120100,120120,3.90
30144A,120120,120140,4.31
30144A,120140,120160,3.36
30144A,120160,120180,4.34
30144A,120180,120200,3.34
30144A,120200,120220,3.91
30144A,120220,120240,2.92
30144A,120240,120260,2.58
30144A,120260,120280,3.53
30144A,120280,120300,3.91
30144A,120300,120320,3.08
30144A,120320,120340,3.17
30144A,120340,120360,2.44
30144A,120360,120380,1.89
30144A,120380,120400,3.22
30144A,120400,120420,2.82
30144A,120420,120440,2.74
30144A,120440,120460,2.84
30144A,120460,120480,3.97
30144A,120480,120500,2.49
30144A,120500,120520,3.19
30144A,120520,120540,2.88
30144A,120540,120560,3.80
30144A,120560,120580,3.19
30144A,120580,120600,2.76
30144A,120600,120620,3.28
30144A,120620,120640,3.65
30144A,120640,120660,4.76
30144A,120660,120680,3.91
30144A,120680,120700,4.28
30144A,120700,120720,2.74
30144A,120720,120740,2.40
30144A,120740,120760,2.26
30144A,120760,120780,2.77
30144A,120780,120800,3.26
30144A,120800,120820,3.22
30144A,120820,120840,2.88
30144A,120840,120860,2.93
30144A,120860,120880,3.43
30144A,120880,120900,3.33
30144A,120900,120920,1.97
30144A,120920,120940,3.18
30144A,120940,120960,2.18
30144A,120960,120980,2.24
30144A,120980,121000,1.96
30144A,121000,121020,1.91
30144A,121020,121040,1.98
30144A,121040,121060,1.74
30144A,121060,121080,1.98
30144A,121080,121100,1.70
30144A,121100,121120,1.90
30144A,121120,121140,1.74
30144A,121140,121160,1.68
30144A,121160,121180,2.85
30144A,121180,121200,1.46
30144A,121200,121220,2.01
30144A,121220,121240,2.57
30144A,121240,121260,1.95
30144A,121260,121280,2.15
30144A,121280,121300,1.58
30144A,121300,121320,2.03
30144A,121320,121340,3.14
30144A,121340,121360,1.51
30144A,121360,121380,2.54
30144A,121380,121400,3.02
30144A,121400,121420,4.32
30144A,121420,121440,3.37
30144A,121440,121460,2.48
30144A,121460,121480,2.84
30144A,121480,121500,1.85
30144A,121500,121520,2.18
30144A,121520,121540,1.86
30144A,121540,121560,2.10
30144A,121560,121580,2.14
30144A,121580,121600,2.54
30144A,121600,121620,2.45
30144A,121620,121640,1.93
30144A,121640,121660,2.23
30144A,121660,121680,1.90
30144A,121680,121700,1.96
30144A,121700,121720,2.31
30144A,121720,121740,1.89
30144A,121740,121760,2.18
30144A,121760,121780,1.95
30144A,121780,121800,2.80
30144A,121800,121820,2.54
30144A,121820,121840,1.78
30144A,121840,121860,1.50
30144A,121860,121880,1.96
30144A,121880,121900,1.86
30144A,121900,121920,1.71
30144A,121920,121940,2.99
30144A,121940,121960,2.87
30144A,121960,121980,2.51
30144A,121980,122000,1.85
30144A,122000,122020,3.49
30144A,122020,122040,3.77
30144A,122040,122060,2.95
30144A,122060,122080,2.86
30144A,122080,122100,2.44
30144A,122100,122120,2.65
30144A,122120,122140,2.26
30144A,122140,122160,2.26
30144A,122160,122180,2.44
30144A,122180,122200,2.20
30144A,122200,122220,3.01
30144A,122220,122240,2.90
30144A,122240,122260,2.43
30144A,122260,122280,1.87
30144A,122280,122300,2.16
30144A,122300,122320,2.11
30144A,122320,122340,2.29
30144A,122340,122360,1.75
30144A,122360,122380,2.15
30144A,122380,122400,2.21
30144A,122400,122420,1.88
30144A,122420,122440,2.13
30144A,122440,122460,1.74
30144A,122460,122480,2.18
30144A,122480,122500,1.98
30144A,122500,122520,1.90
30144A,122520,122540,2.04
30144A,122540,122560,3.08
30144A,122560,122580,3.21
30144A,122580,122600,2.16
30144A,122600,122620,2.43
30144A,122620,122640,2.25
30144A,122640,122660,2.62
30144A,122660,122680,1.85
30144A,122680,122700,1.87
30144A,122700,122720,1.68
30144A,122720,122740,1.74
30144A,122740,122760,1.89
30144A,122760,122780,1.80
30144A,122780,122800,3.98
30144A,122800,122820,2.79
30144A,122820,122840,2.60
30144A,122840,122860,1.85
30144A,122860,122880,2.05
30144A,122880,122900,2.06
30144A,122900,122920,2.70
30144A,122920,122940,2.89
30144A,122940,122960,2.13
30144A,122960,122980,2.11
30144A,122980,123000,2.06
